;"incorrect_sentence";"correct_sentences";"topics";"entered"
245;"I promised myself don't make promises if I can't keep them.";"I promised myself not to make promises if I can't keep them.";"To + Infinitive";"2024-08-07 09:08:26.969035"
246;"The cave starts collapse, so they can't escape.";"The cave starts to collapse, so they can't escape.";"To + Infinitive";"2024-08-07 09:08:26.969035"
247;"I prefer watch movies that I already know.";"I prefer to watch movies that I already know.";"To + Infinitive";"2024-08-07 09:08:26.969035"
248;"It's nice have brothers, but it's not the same thing as having a sister.";"It's nice to have brothers, but it's not the same thing as having a sister.";"To + Infinitive";"2024-08-07 09:08:26.969035"
249;"Would you like go to Rome?";"Would you like to go to Rome?";"To + Infinitive";"2024-08-07 09:08:26.969035"
250;"Are you planning go climbing?";"Are you planning to go climbing?";"To + Infinitive";"2024-08-07 09:08:26.969035"
251;"I think it's necessary have rules.";"I think it's necessary to have rules.";"To + Infinitive";"2024-08-07 09:08:26.969035"
252;"It's almost impossible you resolve this on your own.";"It's almost impossible to resolve this on your own.";"To + Infinitive";"2024-08-07 09:08:26.969035"
253;"It's cheaper you just go to YouTube.";"It's cheaper just to go to YouTube.";"To + Infinitive";"2024-08-07 09:08:26.969035"
254;"It's so important practise.";"It's so important to practise.";"To + Infinitive";"2024-08-07 09:08:26.969035"
255;"You have to learn how fall correctly.";"You have to learn how to fall correctly.";"To + Infinitive";"2024-08-07 09:08:26.969035"
256;"It's cheaper you rent.";"It's cheaper to rent.";"To + Infinitive";"2024-08-07 09:08:26.969035"
257;"It's difficult you get a chance for study.";"It's difficult to get a chance to study.
You don't often get a chance to study.";"To + Infinitive";"2024-08-07 09:08:26.969035"
258;"I prefer write the word for help me learn it.";"I prefer to write the word to help me learn it.";"To + Infinitive";"2024-08-07 09:08:26.969035"
259;"It's so hard play basketball in the rain.";"It's so hard to play basketball in the rain.";"To + Infinitive";"2024-08-07 09:08:26.969035"
260;"We decided follow the birds.";"We decided to follow the birds.";"To + Infinitive";"2024-08-07 09:08:26.969035"
261;"I hope go back there someday.";"I hope to go back there someday.";"To + Infinitive";"2024-08-07 09:08:26.969035"
262;"We usually pay for insurance to don't depend on the system.";"We usually pay for insurance so (that) we won't depend on the system.";"To + Infinitive";"2024-08-07 09:08:26.969035"
263;"It's easier be attracted to a good personality.";"It's easier to be attracted to a good personality.";"To + Infinitive";"2024-08-07 09:08:26.969035"
264;"My plan is living a simple life.";"My plan is to live a simple life.";"To + Infinitive";"2024-08-07 09:08:26.969035"
265;"It took a long time to DaVinci finish the Mona Lisa.";"It took a long time for DaVinci to finish the Mona Lisa.";"To + Infinitive";"2024-08-07 09:08:26.969035"
266;"I don't like call myself an artist.";"I don't like to call myself an artist.";"To + Infinitive";"2024-08-07 09:08:26.969035"
267;"I don't know to swim.";"I don't know how to swim.";"To + Infinitive";"2024-08-07 09:08:26.969035"
268;"I prefer stay home.";"I prefer to stay home.";"To + Infinitive";"2024-08-07 09:08:26.969035"
269;"For me it doesn't work live with a roommate.";"For me it doesn't work to live with a roommate.";"To + Infinitive";"2024-08-07 09:08:26.969035"
270;"I prefer cook once and divide it into portions.";"I prefer to cook once and divide it into portions.";"To + Infinitive";"2024-08-07 09:08:26.969035"
271;"If I can avoid cooking, I prefer.";"If I can avoid cooking, I prefer not to.";"To + Infinitive";"2024-08-07 09:08:26.969035"
272;"My father used to told me tales.";"My father used to tell me tales.";"To + Infinitive";"2024-08-07 09:08:26.969035"
273;"It's impossible do this.";"It's impossible to do this.";"To + Infinitive";"2024-08-07 09:08:26.969035"
274;"You need to thinking about it a lot.";"You need to think about it a lot.";"To + Infinitive";"2024-08-07 09:08:26.969035"
275;"I prefer keep a distance.";"I prefer to keep a distance.";"To + Infinitive";"2024-08-07 09:08:26.969035"
276;"It looks like he's trying understood what's happening.";"It looks like he's trying to understand what's happening.";"To + Infinitive";"2024-08-07 09:08:26.969035"
277;"It's very expensive live in Norway.";"It's very expensive to live in Norway.";"To + Infinitive";"2024-08-07 09:08:26.969035"
278;"It's better don't run away from the paparazzi, because they'll follow you.";"It's better not to run away from the paparazzi, because they'll follow you.";"To + Infinitive";"2024-08-07 09:08:26.969035"
279;"It's good if you're trying don't spend too much money.";"It's good if you're trying not to spend too much money.";"To + Infinitive";"2024-08-07 09:08:26.969035"
280;"I prefer listen to audiobooks.";"I prefer to listen to audiobooks.";"To + Infinitive";"2024-08-07 09:08:26.969035"
281;"I would like get married.";"I would like to get married.";"To + Infinitive";"2024-08-07 09:08:26.969035"
282;"My best friend always pushes me do things.";"My best friend always pushes me to do things.";"To + Infinitive";"2024-08-07 09:08:26.969035"
283;"I'd like go there.";"I'd like to go there.";"To + Infinitive";"2024-08-07 09:08:26.969035"
284;"It's OK don't drink coffee.";"It's OK not to drink coffee.";"To + Infinitive";"2024-08-07 09:08:26.969035"
285;"You need speak more fluently for get a better job.";"You need to speak more fluently to get a better job.";"To + Infinitive";"2024-08-07 09:08:26.969035"
286;"I always push myself doing things that challenge me.";"I always push myself to do things that challenge me.";"To + Infinitive";"2024-08-07 09:08:26.969035"
287;"We need to time.";"We need time.";"To + Infinitive";"2024-08-07 09:08:26.969035"
288;"A lot of people want seeing the coronation.";"A lot of people want to see the coronation.";"To + Infinitive";"2024-08-07 09:08:26.969035"
289;"The intention of the director was make the judge the main character.";"The intention of the director was to make the judge the main character.";"To + Infinitive";"2024-08-07 09:08:26.969035"
290;"She was the first woman to won the Nobel Prize.";"She was the first woman to win the Nobel Prize.";"To + Infinitive";"2024-08-07 09:08:26.969035"
291;"My dream was visit Rome.";"My dream was to visit Rome.";"To + Infinitive";"2024-08-07 09:08:26.969035"
292;"Today it's more common use your cell phone.";"Today it's more common to use your cell phone.";"To + Infinitive";"2024-08-07 09:08:26.969035"
293;"I prefer to don't break anything.";"I prefer not to break anything.";"To + Infinitive";"2024-08-07 09:08:26.969035"
294;"It's difficult to found people who speak English in Brazil.";"It's difficult to find people who speak English in Brazil.";"To + Infinitive";"2024-08-07 09:08:26.969035"
295;"It's not easy to don't eat sugar.";"It's not easy to avoid eating sugar.
It's not easy to stop eating sugar.";"To + Infinitive";"2024-08-07 09:08:26.969035"
296;"I used to don't study art in school.";"I didn't use to study art in school.
I never studied art in school.";"To + Infinitive";"2024-08-07 09:08:26.969035"
297;"It's hard to forgot.";"It's hard to forget.";"To + Infinitive";"2024-08-07 09:08:26.969035"
298;"You need try.";"You need to try.";"To + Infinitive";"2024-08-07 09:08:26.969035"
299;"She started to invented some rules for us.";"She started to invent some rules for us.";"To + Infinitive";"2024-08-07 09:08:26.969035"
300;"It's easier for Brazilian people learn about that.";"It's easier for Brazilian people to learn about that.";"To + Infinitive";"2024-08-07 09:08:26.969035"
301;"You need speak Italian.";"You need to speak Italian.";"To + Infinitive";"2024-08-07 09:08:26.969035"
302;"I need make a decision.";"I need to make a decision.";"To + Infinitive";"2024-08-07 09:08:26.969035"
303;"I don't know how react to that.";"I don't know how to react to that.";"To + Infinitive";"2024-08-07 09:08:26.969035"
304;"Do you like cook?";"Do you like cooking?
Do you like to cook?";"To + Infinitive";"2024-08-07 09:08:26.969035"
305;"I was at my friend's house for had dinner and planning a trip.";"I was at my friend's house for dinner and to plan a trip.
I was at my friend's house to have dinner and plan a trip.";"To / For";"2024-08-07 09:08:26.969035"
306;"We bought a tour for visited the city.";"We bought a tour to visit the city.";"To / For";"2024-08-07 09:08:26.969035"
307;"I have to take two buses for go and come back.";"I have to take two buses to go and come back.";"To / For";"2024-08-07 09:08:26.969035"
308;"Let me say something for you guys.";"Let me say something to you guys.
Let me tell you guys something.";"To / For";"2024-08-07 09:08:26.969035"
309;"Everybody's free for express their opinion.";"Everybody's free to express their opinion.";"To / For";"2024-08-07 09:08:26.969035"
310;"I only use cash for pay for transport.";"I only use cash to pay for transport.";"To / For";"2024-08-07 09:08:26.969035"
311;"I have plans for visit Africa.";"I have plans to visit Africa.";"To / For";"2024-08-07 09:08:26.969035"
312;"Send it for me.";"Send it to me.";"To / For";"2024-08-07 09:08:26.969035"
313;"Just for check, …";"Just to check, …";"To / For";"2024-08-07 09:08:26.969035"
314;"She wants go to the pub for celebrate.";"She wants to go to the pub to celebrate.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
315;"It's a good place for try to connect with my heritage.";"It's a good place to try to connect with my heritage.";"To / For";"2024-08-07 09:08:26.969035"
316;"I want to say something for you.";"I want to say something to you.
I want to tell you something.";"To / For";"2024-08-07 09:08:26.969035"
317;"It was enough for know that it's terrible.";"It was enough to know that it's terrible.";"To / For";"2024-08-07 09:08:26.969035"
318;"Show it for me.";"Show it to me.";"To / For";"2024-08-07 09:08:26.969035"
319;"You need pay for do the exam.";"You need to pay to do the exam.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
320;"I do this for improve my English.";"I do this to improve my English.";"To / For";"2024-08-07 09:08:26.969035"
321;"I wasn't prepared for do this.";"I wasn't prepared to do this.";"To / For";"2024-08-07 09:08:26.969035"
322;"All my money is for pay the rent.";"All my money is for the rent.
All my money is to pay the rent.";"To / For";"2024-08-07 09:08:26.969035"
323;"You say that for everyone.";"You say that to everyone.";"To / For";"2024-08-07 09:08:26.969035"
324;"They have a project for protect animals' habitats.";"They have a project to protect animals' habitats.";"To / For";"2024-08-07 09:08:26.969035"
325;"I know some projects for take care of these animals.";"I know some projects to take care of these animals.";"To / For";"2024-08-07 09:08:26.969035"
326;"There are different ways for you get there.";"There are different ways for you to get there.
There are different ways to get there.";"To / For";"2024-08-07 09:08:26.969035"
327;"You don't need to pay for visit the river.";"You don't have to pay to visit the river.
You don't need to pay to visit the river.";"To / For";"2024-08-07 09:08:26.969035"
328;"They bite people because they don't have food for eat.";"They bite people because they don't have food to eat.";"To / For";"2024-08-07 09:08:26.969035"
329;"We do everything for survive.";"We do everything to survive.";"To / For";"2024-08-07 09:08:26.969035"
330;"It's an ideal place to people who like to nature.";"It's an ideal place for people who like nature.";"To / For";"2024-08-07 09:08:26.969035"
331;"I don't have the patience for sit in traffic.";"I don't have the patience to sit in traffic.";"To / For";"2024-08-07 09:08:26.969035"
332;"It's easier to me when I can see the words.";"It's easier for me when I can see the words.";"To / For";"2024-08-07 09:08:26.969035"
333;"For prepare it, you need a lot of time.";"To prepare it, you need a lot of time.";"To / For";"2024-08-07 09:08:26.969035"
334;"It's a very good place for work.";"It's a very good place to work.";"To / For";"2024-08-07 09:08:26.969035"
335;"She moved to another city for study.";"She moved to another city to study.";"To / For";"2024-08-07 09:08:26.969035"
336;"It's difficult to find a place for park.";"It's difficult to find a place to park.";"To / For";"2024-08-07 09:08:26.969035"
337;"We didn't have money for buy a piano.";"We didn't have money for a piano.
We didn't have money to buy a piano.";"To / For";"2024-08-07 09:08:26.969035"
338;"Living there was great for improve my listening.";"Living there was great for improving my listening.
Living there was great for my listening.";"To / For";"2024-08-07 09:08:26.969035"
339;"You have a challenge for you complete.";"You have a challenge to complete.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
340;"Spanish is easier for understand than Portuguese.";"Spanish is easier to understand than Portuguese.";"To / For";"2024-08-07 09:08:26.969035"
341;"It costs 800 euro for build.";"It costs 800 euro to build.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
342;"For me it's important to eat pizza for survive.";"For me it's important to eat pizza to survive.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
343;"I think it's good for you know yourself.";"I think it helps you to know yourself.
I think it's good to know yourself.";"To / For";"2024-08-07 09:08:26.969035"
344;"You need to use your whole body for throw the ball.";"You need to use your whole body to throw the ball.";"To / For";"2024-08-07 09:08:26.969035"
345;"It's difficult to get a chance for study.";"It's difficult to get a chance to study.";"To / For";"2024-08-07 09:08:26.969035"
346;"We have seven things for spend money on.";"We have seven things to spend money on.";"To / For";"2024-08-07 09:08:26.969035"
347;"Take some time for do other things.";"Take some time to do other things.";"To / For";"2024-08-07 09:08:26.969035"
348;"That's the best way for do it.";"That's the best way to do it.";"To / For";"2024-08-07 09:08:26.969035"
349;"I have all my passwords in my notebook for help me remember them.";"I have all my passwords in my notebook to help me remember them.";"To / For";"2024-08-07 09:08:26.969035"
350;"I showed it to my teacher for review my grammar.";"I showed it to my teacher to review my grammar.";"To / For";"2024-08-07 09:08:26.969035"
351;"It's very difficult to me.";"It's very difficult for me.";"To / For";"2024-08-07 09:08:26.969035"
352;"It's like a hair dryer, but you use it for dry your ears.";"It's like a hair dryer, but you use it to dry your ears.";"To / For";"2024-08-07 09:08:26.969035"
353;"It's a device for you breathe better.";"It's a device to help you breathe better.";"To / For";"2024-08-07 09:08:26.969035"
354;"You can use it for organise your spending.";"You can use it to organise your spending.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
355;"You need to speak more fluently for get a better job.";"You need to speak more fluently to get a better job.";"To / For";"2024-08-07 09:08:26.969035"
356;"There are a lot of places for visit.";"There are a lot of places to visit.";"To / For";"2024-08-07 09:08:26.969035"
357;"It's a good time for go out.";"It's a good time to go out.";"To / For";"2024-08-07 09:08:26.969035"
358;"You don't have to go to the library for renew.";"You don't have to go to the library to renew.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
359;"I recommend Argentina more to this kind of activity.";"I recommend Argentina more for this kind of activity.";"To / For";"2024-08-07 09:08:26.969035"
360;"It's easier to Brazilian people to understand Spanish.";"It's easier for Brazilian people to understand Spanish.";"To / For";"2024-08-07 09:08:26.969035"
361;"The next morning I woke up early for go to work.";"The next morning I woke up early to go to work.";"To / For";"2024-08-07 09:08:26.969035"
362;"Even for you won the lottery, you have to play.";"Even if you want to win the lottery, you have to play.
Even to win the lottery, you have to play.";"To + Infinitive
To / For";"2024-08-07 09:08:26.969035"
363;"The best season for go is at the beginning of the year.";"The best season to go is at the beginning of the year.";"To / For";"2024-08-07 09:08:26.969035"
364;"I need a lot of space in the freezer for freeze my food.";"I need a lot of space in the freezer to freeze my food.";"To / For";"2024-08-07 09:08:26.969035"
365;"Don't have a solution to this problem.";"There isn't a solution to this problem.
There's no solution to this problem.";"There + BE / Have";"2024-08-07 09:08:26.969035"
366;"Didn't have enough space.";"There wasn't enough space.";"There + BE / Have";"2024-08-07 09:08:26.969035"
367;"Have a border with two other countries.";"It has a border with two other countries.
There's a border with two other countries.";"There + BE / Have";"2024-08-07 09:08:26.969035"
368;"Have a lot of traffic in Sao Paulo.";"Sao Paulo has a lot of traffic.
There's a lot of traffic in Sao Paulo.";"There + BE / Have";"2024-08-07 09:08:26.969035"
369;"Have a documentary about this.";"There's a documentary about this.";"There + BE / Have";"2024-08-07 09:08:26.969035"
370;"It has a reason for that.";"There's a reason for that.";"There + BE / Have";"2024-08-07 09:08:26.969035"
371;"Have a process to extract the sauce.";"There's a process to extract the sauce.
They have a process to extract the sauce.";"There + BE / Have";"2024-08-07 09:08:26.969035"
372;"In my region don't have a sea.";"In my region there isn't any sea.
In my region there's no sea.
In my region we don't have a sea.";"There + BE / Have";"2024-08-07 09:08:26.969035"
373;"Have a specific name for it.";"There's a specific name for it.
We have a specific name for it.";"There + BE / Have";"2024-08-07 09:08:26.969035"
374;"Here don't have snakes.";"Here there are no snakes.
Here there aren't any snakes.
Here we don't have snakes.";"There + BE / Have";"2024-08-07 09:08:26.969035"
375;"Have other beaches near here.";"There are other beaches near here.";"There + BE / Have";"2024-08-07 09:08:26.969035"
376;"Have teachers who get paid as much as doctors.";"There are teachers who get paid as much as doctors.";"There + BE / Have";"2024-08-07 09:08:26.969035"
377;"It's very emotional, but have comedy as well.";"It's very emotional, but it has comedy as well.";"There + BE / Have";"2024-08-07 09:08:26.969035"
378;"Have some movies about this topic.";"There are some movies about this topic.";"There + BE / Have";"2024-08-07 09:08:26.969035"
379;"Here in Cork have a lot of companies.";"Here in Cork there are a lot of companies.";"There + BE / Have";"2024-08-07 09:08:26.969035"
380;"When I got to London, has a bus strike in the underground.";"When I got to London, there was a bus strike in the underground.";"There + BE / Have";"2024-08-07 09:08:26.969035"
381;"Have a lot of demand in Ireland.";"There is a lot of demand in Ireland.";"There + BE / Have";"2024-08-07 09:08:26.969035"
382;"Don't have a lot of big waves.";"There aren't a lot of big waves.";"There + BE / Have";"2024-08-07 09:08:26.969035"
383;"Have people who speak a lot of languages.";"There are people who speak a lot of languages.";"There + BE / Have";"2024-08-07 09:08:26.969035"
384;"When I was in high school, the only sport that I have to play is football.";"When I was in high school, the only sport that I had to play was football.";"Tenses";"2024-08-07 09:08:26.969035"
385;"It's the worst holiday that I ever had.";"It's the worst holiday that I've ever had.";"Tenses";"2024-08-07 09:08:26.969035"
386;"I'm trying to get another accommodation since December.";"I've been trying to get another accommodation since December.";"Tenses";"2024-08-07 09:08:26.969035"
387;"I know her since we were eight.";"I've known her since we were eight.";"Tenses";"2024-08-07 09:08:26.969035"
388;"I don't doing enough exercise these days.";"I don't do enough exercise these days.
I'm not doing enough exercise these days.";"Tenses";"2024-08-07 09:08:26.969035"
389;"We going to invite 15 girls.";"We're going to invite 15 girls.";"Tenses";"2024-08-07 09:08:26.969035"
390;"Next weekend I go to a party.";"Next weekend I'm going to a party.";"Tenses";"2024-08-07 09:08:26.969035"
391;"I've been studied English since high school.";"I've been studying English since high school.";"Tenses";"2024-08-07 09:08:26.969035"
392;"Where do you think of going?";"Where are you thinking of going?";"Tenses";"2024-08-07 09:08:26.969035"
393;"Did you watched Game of Thrones?";"Did you watch Game of Thrones?";"Tenses";"2024-08-07 09:08:26.969035"
394;"This week I'm feel down.";"This week I'm feeling down.";"Tenses";"2024-08-07 09:08:26.969035"
395;"I've started my own company, but I didn't have enough money.";"I started my own company, but I didn't have enough money.";"Tenses";"2024-08-07 09:08:26.969035"
396;"I've learnt to do a presentation at my last job.";"I learnt to do a presentation at my last job.";"Tenses";"2024-08-07 09:08:26.969035"
397;"I've playing football since I was a child.";"I've been playing football since I was a child.
I've played football since I was a child.";"Tenses";"2024-08-07 09:08:26.969035"
398;"I have been studied for six years.";"I have been studying for six years.";"Tenses";"2024-08-07 09:08:26.969035"
399;"It's easier for me when I saw the words.";"It's easier for me when I see the words.";"Tenses";"2024-08-07 09:08:26.969035"
400;"I didn't saw the end.";"I didn't see the end.";"Tenses";"2024-08-07 09:08:26.969035"
401;"Do you try this food?";"Have you tried this food?";"Tenses";"2024-08-07 09:08:26.969035"
402;"I never have my own house.";"I've never had my own house.";"Tenses";"2024-08-07 09:08:26.969035"
403;"I will go to the cinema this weekend.";"I'm going to the cinema this weekend.";"Tenses";"2024-08-07 09:08:26.969035"
404;"How long are you here?";"How long have you been here?";"Tenses";"2024-08-07 09:08:26.969035"
405;"What level have you started in?";"What level did you start in?";"Tenses";"2024-08-07 09:08:26.969035"
406;"I know him since I was one month old.";"I‘ve known him since I was one month old.";"Tenses";"2024-08-07 09:08:26.969035"
407;"We lose touch when she moved to another city.";"We lost touch when she moved to another city.";"Tenses";"2024-08-07 09:08:26.969035"
408;"A colleague told me that he would change his job.";"A colleague told me that he was going to change his job.";"Tenses";"2024-08-07 09:08:26.969035"
409;"I think I didn't saw that film.";"I don't think I've seen that film.";"Tenses";"2024-08-07 09:08:26.969035"
410;"I saw this movie when I travelled on a bus.";"I saw this movie when I was travelling on a bus.";"Tenses";"2024-08-07 09:08:26.969035"
411;"I was injured three times in my life.";"I have been injured three times in my life.";"Tenses";"2024-08-07 09:08:26.969035"
412;"I saw him live many times.";"I've seen him live many times.";"Tenses";"2024-08-07 09:08:26.969035"
413;"Did you won the match?";"Did you win the match?";"Tenses";"2024-08-07 09:08:26.969035"
414;"It's a long time since I do this.";"It's been a long time since I did this.";"Tenses";"2024-08-07 09:08:26.969035"
415;"I didn't do it yet.";"I haven't done it yet.";"Tenses";"2024-08-07 09:08:26.969035"
416;"I didn't go to the sea in a long time.";"I haven't been to the sea in a long time.";"Tenses";"2024-08-07 09:08:26.969035"
417;"After that I'm go back to Brazil.";"After that I'm going back to Brazil.";"Tenses";"2024-08-07 09:08:26.969035"
418;"I never had a pet turtle.";"I have never had a pet turtle.";"Tenses";"2024-08-07 09:08:26.969035"
419;"Teenagers use to hang around shopping centres.";"Teenagers hang around shopping centres.
Teenagers usually hang around shopping centres.";"Tenses";"2024-08-07 09:08:26.969035"
420;"When I was a child, I would like to play marbles.";"When I was a child, I liked to play marbles.
When I was a child, I used to like to play marbles.";"Tenses";"2024-08-07 09:08:26.969035"
421;"I already read a book about this topic.";"I've read a book about this topic.";"Tenses";"2024-08-07 09:08:26.969035"
422;"I never went there in my life.";"I've never been there in my life.";"Tenses";"2024-08-07 09:08:26.969035"
423;"I started the 4th season, but I didn't finish it yet.";"I started the 4th season, but I haven't finished it yet.";"Tenses";"2024-08-07 09:08:26.969035"
424;"Maintain your calm, or maybe you're going to lose your friends.";"Maintain your calm, or maybe you'll lose your friends.
Maintain your calm, or you might lose your friends.";"Tenses";"2024-08-07 09:08:26.969035"
425;"Did you broke a bone?";"Did you break a bone?";"Tenses";"2024-08-07 09:08:26.969035"
426;"She done a lot in her life.";"She has done a lot in her life.";"Tenses";"2024-08-07 09:08:26.969035"
427;"She was excited because she never did it before.";"She was excited because she had never done it before.";"Tenses";"2024-08-07 09:08:26.969035"
428;"She's my friend since I was ten.";"She's been my friend since I was ten.";"Tenses";"2024-08-07 09:08:26.969035"
429;"I didn't try it yet.";"I haven't tried it yet.";"Tenses";"2024-08-07 09:08:26.969035"
430;"Do you have visit any places in Ireland?";"Have you visited any places in Ireland?";"Tenses";"2024-08-07 09:08:26.969035"
431;"When I was a kid, I've never been to another town.";"When I was a kid, I never went to another town.";"Tenses";"2024-08-07 09:08:26.969035"
432;"Have you been taking any medications before visiting the doctor?";"Had you been taking any medications before visiting the doctor?";"Tenses";"2024-08-07 09:08:26.969035"
433;"When we arrived, it had raining.";"When we arrived, it was raining.";"Tenses";"2024-08-07 09:08:26.969035"
434;"The first time I got COVID, I didn't get the vaccine, so I had very strong symptoms.";"The first time I got COVID, I hadn't got the vaccine, so I had very strong symptoms.";"Tenses";"2024-08-07 09:08:26.969035"
435;"I used to not read.";"I didn't use to read.";"To + Infinitive
Tenses";"2024-08-07 09:08:26.969035"
436;"I always fear that the teacher catch me.";"I was always afraid that the teacher would catch me.";"Tenses";"2024-08-07 09:08:26.969035"
437;"It didn't exactly broke.";"It didn't exactly break.";"Tenses";"2024-08-07 09:08:26.969035"
438;"The play didn't was familiar to me.";"The play wasn't familiar to me.";"Tenses";"2024-08-07 09:08:26.969035"
439;"Later he discovered that he got malaria.";"Later he discovered that he had got malaria.";"Tenses";"2024-08-07 09:08:26.969035"
440;"I didn't have an interview for a long time.";"I haven't had an interview for a long time.";"Tenses";"2024-08-07 09:08:26.969035"
441;"I'm here for five months.";"I've been here for five months.";"Tenses";"2024-08-07 09:08:26.969035"
442;"I loved music since I started playing it.";"I have loved music since I started playing it.";"Tenses";"2024-08-07 09:08:26.969035"
443;"I had visit a lot of countries for my job.";"I had to visit a lot of countries for my job.
I have visited a lot of countries for my job.
I visited a lot of countries for my job.
I've had to visit a lot of countries for my job.";"To + Infinitive
Tenses";"2024-08-07 09:08:26.969035"
444;"Once I have been to a match with 100,000 people.";"I have been to a match with 100,000 people.
Once I went to a match with 100,000 people.";"Tenses";"2024-08-07 09:08:26.969035"
445;"What's the most amazing view you ever seen?";"What's the most amazing view you've ever seen?";"Tenses";"2024-08-07 09:08:26.969035"
446;"I think every Brazilian read this comic.";"I think every Brazilian has read this comic.";"Tenses";"2024-08-07 09:08:26.969035"
447;"Maybe I'm going to Dublin.";"I might go to Dublin.
Maybe I'll go to Dublin.";"Tenses
Modals";"2024-08-07 09:08:26.969035"
448;"I've been there with a friend two years ago.";"I went there with a friend two years ago.";"Tenses";"2024-08-07 09:08:26.969035"
449;"I didn't read it yet.";"I haven't read it yet.";"Tenses";"2024-08-07 09:08:26.969035"
450;"When I'm not working, I use to spend time with my family.";"When I'm not working, I spend time with my family.
When I'm not working, I usually spend time with my family.";"Tenses";"2024-08-07 09:08:26.969035"
451;"I've practised swimming when I was in high school.";"I practised swimming when I was in high school.";"Tenses";"2024-08-07 09:08:26.969035"
452;"Now I reading a good book.";"Now I'm reading a good book.";"Tenses";"2024-08-07 09:08:26.969035"
453;"I don't find a good place yet.";"I haven't found a good place yet.";"Tenses";"2024-08-07 09:08:26.969035"
454;"When I have been in my country, I had a dog.";"When I was in my country, I had a dog.";"Tenses";"2024-08-07 09:08:26.969035"
455;"It don't looks like a city.";"It doesn't look like a city.";"Tenses";"2024-08-07 09:08:26.969035"
456;"I usually watch TV when I have dinner.";"I usually watch TV when I'm having dinner.";"Tenses";"2024-08-07 09:08:26.969035"
457;"I saw lots of horror films in my life.";"I've seen lots of horror films in my life.";"Tenses";"2024-08-07 09:08:26.969035"
458;"I thought it was really bad, but in the end it was OK.";"I thought it was going to be really bad, but in the end it was OK.
I thought it would be really bad, but in the end it was OK.";"Tenses";"2024-08-07 09:08:26.969035"
459;"I never been to a big concert.";"I've never been to a big concert.";"Tenses";"2024-08-07 09:08:26.969035"
460;"I'm feel stressed when I travel.";"I feel stressed when I travel.";"Tenses";"2024-08-07 09:08:26.969035"
461;"My father cooking better than my grandma.";"My father cooks better than my grandma.";"Tenses";"2024-08-07 09:08:26.969035"
462;"Before I chose Ireland, I would like to go to Australia.";"Before I chose Ireland, I wanted to go to Australia.";"Word Confusion
Tenses";"2024-08-07 09:08:26.969035"
463;"I don't have a TV for five years.";"I haven't had a TV for five years.";"Tenses";"2024-08-07 09:08:26.969035"
464;"Sometimes Irish people using slang.";"Sometimes Irish people use slang.";"Tenses";"2024-08-07 09:08:26.969035"
465;"She doesn't work for two years.";"She hasn't worked for two years.";"Tenses";"2024-08-07 09:08:26.969035"
466;"A lot of tourists visiting this cathedral.";"A lot of tourists visit this cathedral.";"Tenses";"2024-08-07 09:08:26.969035"
467;"The most beautiful city I've ever been visited is London.";"The most beautiful city I've ever visited is London.";"Tenses";"2024-08-07 09:08:26.969035"
468;"In the beginning, no one would like to buy his drawings.";"In the beginning, no one wanted to buy his drawings.";"Tenses";"2024-08-07 09:08:26.969035"
469;"It's not change.";"It doesn't change.";"Word Confusion
Tenses";"2024-08-07 09:08:26.969035"
470;"I never been really good in school.";"I was never really good in school.";"Tenses";"2024-08-07 09:08:26.969035"
471;"I didn't saw a lot of gas stations here in Ireland.";"I haven't seen a lot of gas stations here in Ireland.";"Tenses";"2024-08-07 09:08:26.969035"
472;"My aunt is married since she was 18.";"My aunt has been married since she was 18.";"Tenses";"2024-08-07 09:08:26.969035"
473;"I'm not get used to it.";"I haven't got used to it.
I'm not used to it.";"Word Confusion
Tenses";"2024-08-07 09:08:26.969035"
474;"It's rude if it's happen all the time.";"It's rude if it happens all the time.";"Tenses";"2024-08-07 09:08:26.969035"
475;"In the end, I had given the pie away to my coworkers.";"In the end, I gave the pie away to my coworkers.";"Tenses";"2024-08-07 09:08:26.969035"
476;"It's normal when we're children.";"It was normal when we were children.";"Tenses";"2024-08-07 09:08:26.969035"
477;"I didn't do anything with my degree yet.";"I haven't done anything with my degree yet.";"Tenses";"2024-08-07 09:08:26.969035"
478;"Before that, the only person I take care of was my grandmother.";"Before that, the only person I had taken care of was my grandmother.";"Tenses";"2024-08-07 09:08:26.969035"
479;"At the time, I have never done that before.";"At the time, I had never done that before.";"Tenses";"2024-08-07 09:08:26.969035"
480;"I didn't won anything.";"I didn't win anything.";"Tenses";"2024-08-07 09:08:26.969035"
481;"I don't choose yet.";"I haven't chosen yet.";"Tenses";"2024-08-07 09:08:26.969035"
482;"I don't have the opportunity to meet Irish people yet.";"I haven't had the opportunity to meet Irish people yet.";"Tenses";"2024-08-07 09:08:26.969035"
483;"She realised that she broke her shoulder.";"She realised that she had broken her shoulder.";"Tenses";"2024-08-07 09:08:26.969035"
